"","id","gender","time","performance","feedback","activity"
"272",1,1,8,97.0066095,"positive","emg_bi"
"273",1,1,9,94.8653521,"positive","emg_bi"
"274",1,1,10,94.5649205,"positive","emg_bi"
"275",1,1,11,97.3234282,"positive","emg_bi"
"276",1,1,12,96.0452286,"positive","emg_bi"
"277",2,1,1,71.8717944,"positive","emg_bi"
"278",2,1,2,80.2680478,"positive","emg_bi"
"279",2,1,3,83.3336136,"positive","emg_bi"
"280",2,1,4,79.9384533,"positive","emg_bi"
"281",2,1,5,80.2310525,"positive","emg_bi"
"282",2,1,6,90.1172079,"positive","emg_bi"
"283",2,1,7,76.9805102,"positive","emg_bi"
"284",2,1,8,77.8280391,"positive","emg_bi"
"285",2,1,9,82.4104125,"positive","emg_bi"
"286",2,1,10,84.5275531,"positive","emg_bi"
"287",2,1,11,84.9210486,"positive","emg_bi"
"288",2,1,12,72.5393916,"positive","emg_bi"
"289",3,1,1,94.8163492,"positive","emg_bi"
"290",3,1,2,102.809074,"positive","emg_bi"
"291",3,1,3,112.514525,"positive","emg_bi"
"292",3,1,4,108.361542,"positive","emg_bi"
"293",3,1,5,99.3179407,"positive","emg_bi"
"294",3,1,6,96.564442,"positive","emg_bi"
"295",3,1,7,102.708028,"positive","emg_bi"
"296",3,1,8,98.3377962,"positive","emg_bi"
"297",3,1,9,95.836912,"positive","emg_bi"
"298",3,1,10,108.962765,"positive","emg_bi"
"299",3,1,11,98.2872733,"positive","emg_bi"
"300",3,1,12,98.4691558,"positive","emg_bi"
"301",4,1,1,68.0566366,"positive","emg_bi"
"302",4,1,2,68.4893091,"positive","emg_bi"
"303",4,1,3,71.7343528,"positive","emg_bi"
"304",4,1,4,78.3343254,"positive","emg_bi"
"305",4,1,5,76.8989515,"positive","emg_bi"
"306",4,1,6,82.6507486,"positive","emg_bi"
"307",4,1,7,81.9399295,"positive","emg_bi"
"308",4,1,8,87.2281489,"positive","emg_bi"
"309",4,1,9,92.6537246,"positive","emg_bi"
"310",4,1,10,93.5774461,"positive","emg_bi"
"311",4,1,11,75.5597271,"positive","emg_bi"
"312",4,1,12,81.4591823,"positive","emg_bi"
"313",5,1,1,95.6694714,"positive","emg_bi"
"314",5,1,2,93.3007134,"positive","emg_bi"
"315",5,1,3,90.735321,"positive","emg_bi"
"316",5,1,4,90.2002927,"positive","emg_bi"
"317",5,1,5,85.7234315,"positive","emg_bi"
"318",5,1,6,87.5160051,"positive","emg_bi"
"319",5,1,7,85.7371502,"positive","emg_bi"
"320",5,1,8,85.6502652,"positive","emg_bi"
"321",5,1,9,84.7173953,"positive","emg_bi"
"322",5,1,10,86.4093653,"positive","emg_bi"
"323",5,1,11,84.4384489,"positive","emg_bi"
"324",5,1,12,84.5207609,"positive","emg_bi"
"325",6,1,1,82.5936612,"positive","emg_bi"
"326",6,1,2,70.4052629,"positive","emg_bi"
"327",6,1,3,76.3260303,"positive","emg_bi"
"328",6,1,4,77.7423896,"positive","emg_bi"
"329",6,1,5,76.200774,"positive","emg_bi"
"330",6,1,6,69.6376668,"positive","emg_bi"
"331",6,1,7,60.4538131,"positive","emg_bi"
"332",6,1,8,73.8401751,"positive","emg_bi"
"333",6,1,9,63.5322267,"positive","emg_bi"
"334",6,1,10,73.6169621,"positive","emg_bi"
"335",6,1,11,74.0521473,"positive","emg_bi"
"336",6,1,12,67.2818855,"positive","emg_bi"
"337",7,1,1,96.2497997,"positive","emg_bi"
"338",7,1,2,97.3449436,"positive","emg_bi"
"339",7,1,3,98.1569528,"positive","emg_bi"
"340",7,1,4,103.573909,"positive","emg_bi"
"341",7,1,5,101.741546,"positive","emg_bi"
"342",7,1,6,104.620973,"positive","emg_bi"
"343",7,1,7,107.190555,"positive","emg_bi"
"344",7,1,8,95.293552,"positive","emg_bi"
"345",7,1,9,93.6962445,"positive","emg_bi"
"346",7,1,10,92.2859127,"positive","emg_bi"
"347",7,1,11,90.9610556,"positive","emg_bi"
"348",7,1,12,93.4077675,"positive","emg_bi"
"349",8,1,1,98.277847,"positive","emg_bi"
"350",8,1,2,97.0984188,"positive","emg_bi"
"351",8,1,3,95.1389705,"positive","emg_bi"
"352",8,1,4,91.1307944,"positive","emg_bi"
"353",8,1,5,86.7138125,"positive","emg_bi"
"354",8,1,6,89.1196579,"positive","emg_bi"
"355",8,1,7,90.6515048,"positive","emg_bi"
"356",8,1,8,90.5387308,"positive","emg_bi"
"357",8,1,9,89.4767756,"positive","emg_bi"
"358",8,1,10,90.4588492,"positive","emg_bi"
"359",8,1,11,88.3349388,"positive","emg_bi"
"360",8,1,12,87.2917792,"positive","emg_bi"
"361",9,1,1,78.1405787,"positive","emg_bi"
"362",9,1,2,76.3451739,"positive","emg_bi"
"363",9,1,3,79.1891246,"positive","emg_bi"
"364",9,1,4,79.3289307,"positive","emg_bi"
"365",9,1,5,79.1339379,"positive","emg_bi"
"366",9,1,6,80.1493718,"positive","emg_bi"
"367",9,1,7,73.1590662,"positive","emg_bi"
"368",9,1,8,81.3303655,"positive","emg_bi"
"369",9,1,9,79.8734387,"positive","emg_bi"
"370",9,1,10,87.0513787,"positive","emg_bi"
"371",9,1,11,85.7268998,"positive","emg_bi"
"372",9,1,12,82.5260757,"positive","emg_bi"
"373",10,1,1,91.208516,"positive","emg_bi"
"374",10,1,2,86.8545189,"positive","emg_bi"
"375",10,1,3,86.5581298,"positive","emg_bi"
"376",10,1,4,89.0294302,"positive","emg_bi"
"377",10,1,5,84.5001044,"positive","emg_bi"
"378",10,1,6,83.9490712,"positive","emg_bi"
"379",10,1,7,89.3592152,"positive","emg_bi"
"380",10,1,8,88.7580881,"positive","emg_bi"
"381",10,1,9,86.2492173,"positive","emg_bi"
"382",10,1,10,83.9574202,"positive","emg_bi"
"383",10,1,11,87.489042,"positive","emg_bi"
"384",10,1,12,89.171363,"positive","emg_bi"
