,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns,time
167,0,1,0,0,1,1,0,1,0,0,0,0,0,0,87.55
168,0,1,0,0,1,1,0,1,0,0,0,0,0,0,88.05
169,0,1,0,0,1,1,0,0,0,0,0,0,0,0,88.55
170,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89.05
171,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89.55
172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90.05
173,0,1,0,0,0,0,0,0,1,0,0,0,0,0,90.55
174,0,1,0,0,0,0,0,0,1,0,0,0,0,0,91.05
175,0,1,0,0,0,0,0,0,0,0,0,1,0,0,91.55
176,0,1,0,0,0,0,0,0,0,0,0,1,0,0,92.05
177,0,1,0,0,0,0,0,0,0,0,0,1,0,0,92.55
178,0,1,0,0,0,0,0,0,0,0,0,1,0,0,93.05
179,0,1,0,0,0,0,0,0,1,0,0,1,0,0,93.55
180,0,1,0,0,0,0,0,0,1,0,0,1,0,0,94.05
181,0,1,0,0,0,0,0,0,0,0,0,1,0,0,94.55
182,0,1,0,0,1,1,0,0,0,0,0,1,0,0,95.05
183,0,1,0,0,1,1,1,0,0,0,0,0,0,0,95.55
184,0,1,0,0,1,1,1,0,0,0,0,0,0,0,96.05
185,0,1,0,0,1,1,0,0,0,0,0,0,0,0,96.55
186,0,1,0,0,0,0,0,0,0,0,0,1,0,0,97.05
187,0,1,0,0,1,1,1,0,0,0,0,1,0,0,97.55
188,0,1,0,0,1,1,1,0,0,0,0,1,0,0,98.05
189,0,1,0,0,0,0,0,0,0,0,0,1,0,0,98.55
190,0,1,0,0,0,0,0,0,0,0,0,1,0,0,99.05
191,0,1,0,0,0,0,0,0,0,1,0,1,0,0,99.55
192,0,1,0,0,0,0,0,0,0,1,0,0,0,0,100.05
193,0,1,0,0,1,1,0,0,0,1,0,0,0,0,100.55
194,0,1,0,0,1,1,0,0,0,1,0,0,0,0,101.05
195,0,1,0,0,1,1,0,0,0,1,0,0,0,0,101.55
196,0,1,0,0,1,1,0,0,0,1,0,0,0,0,102.05
197,0,1,0,0,1,1,0,0,0,0,0,1,0,0,102.55
198,0,1,0,0,0,0,0,0,0,0,0,1,0,0,103.05
199,0,1,0,0,0,0,0,0,0,0,0,1,0,0,103.55
200,0,1,0,0,0,0,0,0,0,0,0,1,0,0,104.05
201,0,1,0,0,0,0,0,0,0,0,0,1,0,0,104.55
202,0,1,0,0,0,0,1,0,0,0,0,1,0,0,105.05
203,0,1,0,0,1,0,1,0,0,0,0,1,0,0,105.55
204,0,1,0,0,1,0,1,0,0,0,0,0,0,0,106.05
205,0,1,0,0,1,0,0,0,0,0,0,0,0,0,106.55
206,0,1,0,0,1,0,0,0,0,0,1,0,0,0,107.05
207,0,1,0,0,0,0,0,0,0,0,1,1,0,0,107.55
208,0,1,0,0,0,0,0,0,0,0,1,1,0,0,108.05
209,0,1,0,0,0,0,0,0,0,0,1,1,0,0,108.55
210,0,1,0,0,0,0,0,0,0,0,1,1,0,0,109.05
211,0,1,0,0,0,0,0,0,0,0,1,1,0,0,109.55
212,0,1,0,0,0,0,0,0,0,0,0,1,0,0,110.05
213,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110.55
214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111.05
215,0,1,0,0,0,0,0,0,0,0,0,1,0,0,111.55
216,0,1,0,0,0,0,0,0,0,0,0,1,0,0,112.05
217,0,1,0,0,0,0,0,0,0,0,0,1,0,0,112.55
218,0,1,0,0,0,0,0,0,0,0,0,1,0,0,113.05
219,0,1,0,0,0,0,0,0,0,0,0,1,0,0,113.55
220,0,1,0,0,0,0,0,0,0,0,0,1,0,0,114.05
221,0,1,0,0,0,0,0,0,0,0,0,1,0,0,114.55
222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115.05
223,0,1,0,1,0,0,0,0,0,0,0,0,0,0,115.55
224,0,1,0,1,1,1,0,0,0,0,0,0,0,0,116.05
225,0,1,0,0,1,1,0,0,0,0,0,0,0,0,116.55
226,0,1,0,0,1,1,0,0,0,0,0,0,0,0,117.05
227,0,1,0,0,0,0,0,0,1,0,0,0,0,0,117.55
228,0,1,0,0,0,0,0,1,1,0,0,0,0,0,118.05
229,0,1,0,0,0,0,0,1,1,0,0,0,0,0,118.55
230,0,1,0,0,0,0,0,1,1,0,0,0,0,0,119.05
231,0,1,0,0,0,0,0,1,1,0,0,0,0,0,119.55
232,0,1,0,0,0,0,0,0,1,0,0,0,0,0,120.05
233,0,1,0,0,0,0,0,0,1,0,0,1,0,0,120.55
234,0,1,0,0,0,0,0,0,0,0,0,1,0,0,121.05
235,0,1,0,0,0,0,0,0,0,0,0,1,0,0,121.55
236,0,1,0,0,0,0,0,0,0,0,0,1,0,0,122.05
237,0,1,0,0,0,0,0,0,0,0,0,1,0,0,122.55
238,0,1,0,0,0,0,0,0,0,0,0,1,0,0,123.05
239,0,1,0,0,0,0,0,0,0,0,0,1,0,0,123.55
240,0,1,0,0,0,0,0,0,0,0,0,1,0,0,124.05
241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,124.55
242,0,1,0,0,0,0,0,0,0,0,0,0,0,0,125.05
243,0,1,0,0,0,0,0,0,0,0,0,0,0,0,125.55
244,0,1,0,0,0,0,0,0,0,0,0,1,0,0,126.05
245,0,1,0,0,0,0,0,0,0,0,0,1,0,0,126.55
246,0,1,0,0,0,0,0,0,0,0,0,1,0,0,127.05
247,0,1,0,0,0,0,0,0,0,0,0,1,0,0,127.55
248,0,1,0,0,0,0,0,0,0,0,0,1,0,0,128.05
249,0,1,0,0,1,1,0,0,0,0,0,1,0,0,128.55
250,0,1,0,0,1,1,0,0,0,0,0,0,0,0,129.05
251,0,1,0,0,1,1,0,0,0,0,0,0,0,0,129.55
252,0,1,0,0,1,1,0,0,0,0,0,0,0,0,130.05
253,0,1,0,0,0,0,0,0,0,0,0,0,0,0,130.55
254,0,1,0,0,0,0,0,0,0,0,0,0,0,0,131.05
255,0,1,0,0,0,0,0,0,1,0,0,0,0,0,131.55
256,0,1,0,0,0,0,0,0,1,0,0,0,0,0,132.05
257,0,1,0,0,0,0,0,0,1,0,0,0,0,0,132.55
258,0,1,0,0,0,0,0,0,1,0,0,0,0,0,133.05
259,0,1,0,0,0,0,0,0,0,0,0,1,0,0,133.55
260,0,1,0,0,0,0,0,0,0,0,0,1,0,0,134.05
261,0,1,0,0,0,0,0,0,0,0,0,1,0,0,134.55
262,0,1,0,0,0,0,0,0,0,0,0,1,0,0,135.05
263,0,1,0,0,0,0,0,0,0,0,0,1,0,0,135.55
264,0,1,0,0,0,0,0,0,0,0,0,1,0,0,136.05
265,0,1,0,0,0,0,0,0,0,0,0,1,0,0,136.55
266,0,1,0,0,1,1,0,0,0,0,0,0,0,0,137.05
267,0,1,0,0,1,1,0,0,0,0,0,0,0,0,137.55
268,0,1,0,0,0,0,0,0,0,0,1,0,0,0,138.05
269,0,1,0,0,1,1,0,0,0,0,1,1,0,0,138.55
270,0,1,0,0,1,1,0,0,0,0,1,1,0,0,139.05
271,0,1,0,0,0,0,0,0,0,0,1,1,0,0,139.55
272,0,1,0,0,0,0,0,0,0,0,1,1,0,0,140.05
273,0,1,0,0,0,0,0,0,0,0,1,1,0,0,140.55
274,0,1,0,0,0,0,0,0,0,0,1,1,0,0,141.05
275,0,1,0,0,0,0,0,0,0,0,0,1,0,0,141.55
276,0,1,1,0,0,0,0,0,0,0,0,1,0,0,142.05
277,0,0,1,0,0,0,0,0,0,0,0,0,0,0,142.55
278,0,1,1,0,0,0,0,0,0,0,0,1,0,0,143.05
279,0,1,1,0,0,0,0,0,0,0,0,1,0,0,143.55
280,0,1,0,0,0,0,0,0,0,0,0,1,0,0,144.05
281,0,1,0,0,0,0,0,0,0,0,0,1,0,0,144.55
282,0,1,1,0,0,0,0,0,0,0,0,1,0,0,145.05
283,0,1,1,0,0,0,0,0,0,0,0,1,0,0,145.55
284,0,1,1,0,1,1,0,0,0,0,0,1,0,0,146.05
285,0,1,1,0,1,1,0,0,0,0,0,0,0,0,146.55
286,0,1,0,1,0,0,0,0,0,0,0,0,0,0,147.05
287,0,1,0,1,0,0,0,0,0,0,0,0,0,0,147.55
288,0,1,0,1,1,1,0,0,1,0,0,0,0,0,148.05
289,0,1,0,0,1,1,0,0,1,0,0,0,0,0,148.55
290,0,1,0,0,1,1,0,0,1,0,0,0,0,0,149.05
291,0,1,0,0,1,1,0,0,1,0,1,0,0,0,149.55
292,0,1,0,0,1,1,0,0,0,0,1,1,0,0,150.05
293,0,1,0,0,0,0,0,0,1,0,1,1,0,0,150.55
294,0,1,0,0,0,0,0,0,1,0,1,1,0,0,151.05
295,0,1,0,0,0,0,0,0,1,0,1,1,0,0,151.55
296,0,1,0,0,0,0,0,0,1,0,1,1,0,0,152.05
297,0,1,0,0,1,0,0,0,1,0,1,1,0,1,152.55
298,0,1,0,0,1,0,0,0,1,0,0,1,0,1,153.05
299,0,1,0,0,0,0,0,0,1,0,0,1,0,1,153.55
300,0,1,0,0,0,0,0,0,1,0,1,1,0,1,154.05
301,0,1,0,0,0,0,0,0,1,0,1,1,0,1,154.55
302,0,1,0,0,0,0,0,0,1,0,1,1,0,1,155.05
303,0,1,0,0,0,0,0,0,0,0,1,1,0,1,155.55
304,1,1,0,0,0,0,0,0,0,0,1,1,0,1,156.05
305,1,1,0,0,0,0,0,0,0,0,1,1,0,1,156.55
306,0,1,0,0,0,0,0,0,0,0,0,1,0,1,157.05
307,0,1,0,0,0,0,0,0,0,0,0,1,0,1,157.55
308,0,1,0,0,1,1,0,0,0,0,0,0,0,1,158.05
309,0,1,0,0,1,1,0,0,0,0,0,0,0,1,158.55
310,0,1,0,0,1,1,0,0,0,0,0,1,0,1,159.05
311,0,1,0,0,1,1,0,0,0,0,0,1,0,1,159.55
312,0,1,0,0,1,1,0,0,0,0,0,1,0,1,160.05
313,0,1,0,0,0,0,0,0,0,0,0,1,0,0,160.55
314,0,1,0,0,0,0,0,0,0,0,0,1,0,0,161.05
315,0,1,0,0,0,0,0,0,0,0,0,1,0,0,161.55
316,0,1,0,0,0,0,0,0,0,0,0,1,0,0,162.05
317,0,0,0,0,0,0,0,0,0,0,0,1,0,0,162.55
318,0,0,0,0,0,0,0,0,0,0,0,1,0,0,163.05
319,0,0,0,0,0,0,0,0,0,0,0,1,0,0,163.55
320,0,0,0,0,0,0,0,0,0,0,0,1,0,0,164.05
321,0,0,0,0,0,0,0,0,0,0,0,1,0,0,164.55
322,0,0,0,0,0,0,0,0,0,0,0,1,0,0,165.05
323,0,0,0,0,0,0,0,0,0,0,0,1,0,0,165.55
324,0,0,0,0,0,0,0,0,0,0,0,1,0,0,166.05
325,0,0,0,0,0,0,0,0,0,0,0,1,0,0,166.55
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.05
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.55
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.05
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.55
330,0,1,0,0,0,0,0,0,0,0,0,0,0,0,169.05
331,0,1,0,0,0,0,0,0,0,0,0,0,0,0,169.55
332,0,1,0,0,0,0,0,0,0,0,0,0,0,0,170.05
333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,170.55
334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,171.05
335,0,1,0,0,1,1,0,0,0,0,0,0,0,0,171.55
336,0,1,0,0,1,1,0,0,0,0,0,0,0,0,172.05
337,0,1,0,0,1,1,0,0,0,0,0,0,0,0,172.55
338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,173.05
339,0,1,0,0,0,0,0,0,0,0,0,0,0,0,173.55
340,0,1,0,0,0,0,0,0,0,0,0,0,0,0,174.05
341,0,1,0,0,1,1,0,1,0,0,0,0,0,0,174.55
342,0,1,0,0,1,1,0,1,0,0,0,0,0,0,175.05
343,0,1,0,0,1,1,0,1,0,0,0,0,0,0,175.55
344,0,1,0,0,1,1,0,0,0,0,0,0,0,0,176.05
345,0,1,0,0,1,1,0,0,0,0,0,0,0,0,176.55
346,0,1,0,0,1,1,0,0,0,0,0,0,0,0,177.05
347,0,1,0,0,0,0,0,0,0,0,0,1,0,0,177.55
348,0,1,0,0,0,0,0,0,0,0,0,1,0,0,178.05
349,0,1,0,0,0,0,0,0,1,0,0,1,0,0,178.55
350,0,1,0,0,0,0,0,0,1,0,0,1,0,0,179.05
351,0,1,0,0,0,0,0,0,0,0,0,1,0,0,179.55
352,0,1,0,0,0,0,0,0,0,0,0,1,0,0,180.05
353,0,1,0,0,1,0,0,0,0,0,0,1,0,0,180.55
354,0,1,0,0,1,0,0,0,0,0,0,1,0,0,181.05
355,0,1,0,0,1,0,0,0,0,0,0,0,0,0,181.55
356,0,1,0,0,1,0,0,0,0,0,0,1,0,0,182.05
357,0,1,0,0,0,0,0,0,0,0,0,1,0,0,182.55
358,0,1,0,0,0,0,0,0,0,0,0,1,0,0,183.05
