,Child utterance:utterance,Child utterance:other vocalization,Child gaze:robot,Child gaze:parent,Child gaze:props,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,start-end:start,start-end:end,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG,time
robot pointing:point at prop,0.002438905177352327,0.0011452772451886588,0.0026084580002696,0.0002867530939175526,0.00042574619456075093,2.547693517489651e-05,0.004760512553519763,0.024877461485346704,0.005764279762411558,0.007404602520840721,0.015787122660857966,7.66519988310607e-05,0.005764279762411558,0.07046134851966104,0.02423512185657691,0.0183189963528645,0.0012210073864026498,0.001719325950029556,0.03644236038251593,0.009269030537611118,1.0,0.028578753226254087,0.0015517460351657682,0.5401220651748834,0.041856449939261735,0.011625206611598039,0.04379513174361475,0.016385748271658652,0.0005721696241279845,0.0005721696241279845,0.026105883405846558,0.0236503884975688,0.022429080491592222,0.009269030537611118,0.04670738771785403,0.010299061451744158,0.00021061290710660594,1.0
robot text:other,0.0001849187584865672,0.0008757438890348135,0.018864335636762992,4.855792383297409e-06,0.08514535291829245,0.00978796982394594,0.0008062201082914453,0.007293602064282114,0.004406503782533565,0.0014240408389559387,0.01206128738601727,0.010241152040099,0.004406503782533565,0.0015327008327966807,0.0015579990708958261,0.06191991785034687,0.025146423261344045,0.0013146500750571056,0.07764292056413637,0.007084245890951915,0.04548865594929555,1.0,0.06632238729104488,0.011304614052031904,0.01574628735079664,0.00888381050479421,0.03340155631271395,0.012518184983436816,0.015297550762448767,0.00043752792017169063,0.0006448579725399869,0.018060202882632645,0.017128844757150524,0.007084245890951915,0.005963578969522903,0.04600384526626218,6.19341258220003e-06,1.0
robot text:song,0.0032849147320454302,0.0013645533440861774,0.030783608468453082,0.0028198315744361506,0.17375066695389255,0.03652072108205097,0.005486267678051585,0.053898803861321225,0.006869631669159907,0.036333178051964087,0.018824819099118487,0.015979624500885203,0.006869631669159907,0.00464817897975771,0.043638342098561815,0.09743254773916397,0.03932700022160916,0.0020485733970131747,0.12252020290281315,0.011048563477977818,0.0012700039849697438,0.03410238578490488,1.0,0.058562471366552425,0.04998496583392239,0.013858889223461677,0.052306144373472384,0.019539281102252965,0.0006816968681191105,0.0006816968681191105,0.0009217936978822755,0.005141729720531825,0.002497667900364846,0.011048563477977818,0.01887990116139556,0.07219054407158769,0.006019501824799232,1.0
robot text:teach,0.008748990533086443,0.0010573258182900456,0.0003055590895500375,0.005117087533220911,0.006374370017176902,0.01182275507881114,0.014301868060439146,0.013555696733031858,0.005321110955329038,0.00487012794248398,0.005009710768895267,4.136100067832403e-05,0.005321110955329038,0.07295827273274376,0.051191393291686746,0.005883417347646559,4.713626706943907e-05,0.0015872720038480387,0.013972794537821026,0.008555792649435337,0.6065837714605073,0.007976176960447058,0.0803588705557804,1.0,0.01115245208009343,0.0107301410243502,0.040395283060034294,0.01512265001597549,0.0005282360728496064,0.0005282360728496064,0.024088548059383447,0.021823945187493716,0.020697492140623747,0.008555792649435337,0.046229461937228614,0.0035223497673838866,0.0027981468877413354,1.0
robot text:pick up,0.026804204440975882,0.0009963958396537543,0.00015698423181139944,0.00802452187485791,0.002239800129898805,0.011139685896180213,0.018179495519014023,0.00012632079930426746,0.005014161539298048,0.013569645161501423,0.0006790219630561808,0.005883756700677985,4.448512580731839e-06,0.029409386765738454,0.0005751251923104941,0.004986683259970834,0.008519849036821209,0.0014957915476575092,0.021614797220094198,0.008061865683561218,0.05183425197640368,0.012251035285782757,0.07563266527552666,0.012297758015244367,1.0,0.010110362816259799,0.038044700741925105,0.004291949434166299,0.0004977995096374202,0.0004977995096374202,9.854646172987734e-05,0.007790920438858481,0.0006829070763299983,0.01207736847793643,0.015447224400527804,0.005568147069117347,0.01591339505167878,1.0
robot text:try again,4.400296904460285e-05,0.0006851591453394952,0.00042406680806363723,0.0007996564971522294,0.01743022468941567,0.007655093334599907,0.0027533595429971936,0.09844569356699502,0.003447044598966489,0.017791990134450278,0.04087752468163632,0.008009375133132744,0.003447044598966489,0.026867928582690832,0.0066484206793803865,0.05542851677780062,0.04596054699755846,0.11962886716287667,0.0007739130991792121,0.005541142540088051,0.03552214036223192,0.017054457358961047,0.051741906865315455,0.029194766637474195,0.02494656428775863,1.0,0.026097161360170627,0.00978927704581118,0.0003423164132162408,0.0003423164132162408,0.0391832447639682,0.02591385541723452,0.04626585766509715,0.09457890145685806,0.008483488521255899,0.06131098406678182,0.0004900569159300638,1.0
robot text:positive feedback,0.018752312613170383,0.019599173788744238,0.0010667470474995991,0.0033578771763300838,0.02330907040320184,0.011326894723269006,0.004072032188352041,0.0016268510339087355,0.005098295274939454,0.00014793531514861836,0.01395883595251782,0.04599110177829279,0.005098295274939454,0.002135784027259175,0.00018879309772138882,0.0003054817856110226,0.016007830495739114,0.0015208673802347473,0.048909746114415606,0.01768129248221906,0.05271494636962202,0.025258921787507264,0.07692654028975665,0.04329519700104278,0.03697836112956073,0.01028022824121887,1.0,0.014487866163500628,0.0005061426457750511,0.0005061426457750511,0.005276294317611423,0.02090632308796762,0.019827481613301286,0.008197242848905167,0.0028082109736981458,0.0030367348343248012,0.008765243304867271,1.0
robot text:put down,0.0009614565706375336,0.0007464914288659969,0.011681951935903254,0.012589769958169027,0.07131134175896121,0.004404806126726938,0.0029999160855278,0.01368592599021925,0.003755756248637562,0.01979604035709222,0.11548091176498733,0.008727256684811354,0.003755756248637562,0.0027028845001311435,0.06008448037492307,0.10655386576573592,0.03211416901991316,0.001120604532767996,0.08056916272744886,0.021004707633818544,0.038722172035553525,0.01858553083451356,0.05641798527081058,0.03182163319401248,0.008190182579054397,0.007570866798541398,0.02844395120436966,1.0,0.00037295718088012825,0.00037295718088012825,0.018344504142392273,0.001566460660011458,0.014593783642556353,0.006037580074122643,0.0031051381668331375,0.10611928106446172,0.004370493358099909,1.0
start-end:start,0.007466621000950091,0.0004040306866172649,0.11591011409332104,0.018120140329059148,0.05007828157095982,0.0045130862063395795,0.0016235154823494705,0.02720221199638401,0.002032499811544054,0.01070539738731655,0.005560430941823488,0.004721898508812887,0.002032499811544054,0.11305586305348485,0.04890910817421078,0.028444595696269472,0.011582515003299067,0.0006065057367405539,0.03562417436769856,0.0032670285865448994,0.02092194491817152,0.3514304049726236,0.030456789099387514,0.017199128631356964,0.014698644161699232,0.0040964393918550895,0.015375960533100242,0.0057708900303667125,1.0,0.00020186241712823733,0.009184180170785535,0.008322636994937578,0.007893942536168224,0.0032670285865448994,0.051851477917305495,0.02115810611547277,0.011362694464288435,1.0
start-end:end,0.3902870634138622,0.0004040306866172649,0.07274265548486195,0.018120140329059148,0.05007828157095982,0.0045130862063395795,0.0016235154823494705,0.02720221199638401,0.002032499811544054,0.01070539738731655,0.005560430941823488,0.004721898508812887,0.002032499811544054,0.07484673719675482,0.15795175875848344,0.028444595696269472,0.011582515003299067,0.0006065057367405539,0.03562417436769856,0.0032670285865448994,0.02092194491817152,0.010051322369214279,0.030456789099387514,0.017199128631356964,0.014698644161699232,0.0040964393918550895,0.015375960533100242,0.0057708900303667125,0.00020186241712823733,1.0,0.36316864095288964,0.008322636994937578,0.007893942536168224,0.0032670285865448994,0.051851477917305495,0.02115810611547277,0.011362694464288435,1.0
Conversational turns:PC,0.10705543607369242,0.033779797078036,0.0007116517147295275,0.04537322145302655,0.008526560524796238,0.0006140940511100967,0.0034222257740634406,0.026352312346352245,0.0042845563957543105,0.0024435088468397026,7.855974866532814e-05,0.0038968778283538807,0.0042845563957543105,0.06886090504120335,0.058674870880187725,0.00014930384219715,0.00011418492177759343,0.0012782913412817413,0.020093688658079128,0.008365940452740944,0.0442183926053636,0.0006862285842838081,0.0019077165734373133,0.03633091313457646,0.00013478797487786876,0.021720334469194972,0.007424815023472721,0.013148527015447558,0.00042542959247742574,0.01682269773110562,1.0,0.09689523252845007,0.4047231969446351,0.28757181827915557,0.034251035175233986,0.0035894382236461206,0.07028621933634159,1.0
Conversational turns:CP,0.1825117773440271,0.000826672370123636,0.05376321021976069,0.1338476897994463,0.019687812539977353,0.009238532785317086,0.003322289251188497,0.06276237703556176,0.004159416230415977,0.00858251339220397,0.00935186311423874,0.009666223525676013,0.004159416230415977,0.02568877820131957,0.05188122916476313,0.00026355388151282804,0.05752759975903198,0.0012409784491813679,0.07321948778158538,0.006686795624470185,0.04291596614955593,0.020589386827193332,0.011400014913614195,0.035262655121093306,0.011416025744318561,0.015389134681010462,0.03151739689296967,0.0012028367152073548,0.00041301356038217436,0.00041301356038217436,0.1038050463852287,1.0,0.3416963147227756,0.17719043778056937,0.02164298972014738,1.3522505455811543e-05,0.12917533779882434,1.0
