,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,start-end,Conversational turns,Joint attention,Mutual gaze,time
361,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,188.42
362,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,188.92
363,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,189.42
364,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,189.92
365,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,190.42
366,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,190.92
367,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,191.42
368,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,191.92
369,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,192.42
370,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,192.92
371,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,193.42
372,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,193.92
373,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,194.42
374,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,194.92
375,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,195.42
376,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,195.92
377,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,196.42
378,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,196.92
379,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,197.42
380,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,197.92
381,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,198.42
382,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,198.92
383,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,199.42
384,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,199.92
385,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,200.42
386,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,200.92
387,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,201.42
388,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,201.92
389,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,202.42
390,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,202.92
391,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,203.42
392,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,203.92
393,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,204.42
394,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,204.92
395,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,205.42
396,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,205.92
397,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,206.42
398,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,206.92
399,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,207.42
400,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,207.92
401,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,208.42
402,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,208.92
403,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,209.42
404,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,209.92
405,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,210.42
406,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,210.92
407,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,211.42
408,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,211.92
409,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,212.42
410,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,212.92
411,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,213.42
412,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,213.92
413,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,214.42
414,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,214.92
415,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,215.42
416,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,215.92
417,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,216.42
418,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,216.92
419,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,217.42
420,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,217.92
421,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,218.42
422,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,218.92
423,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,219.42
424,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,219.92
425,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,220.42
426,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,220.92
427,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,221.42
428,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,221.92
429,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,222.42
430,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,222.92
431,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,223.42
